title,pubDate,guid,link,description
Drought-stricken US warned of looming 'dead pool',"Fri, 03 Jun 2022 17:14:01 GMT",https://www.bbc.co.uk/news/world-us-canada-61669233,https://www.bbc.co.uk/news/world-us-canada-61669233?at_medium=RSS&at_campaign=KARANGA,Tens of thousands of acres of farmland lie idle because farmers can't get enough water to grow crops.
Nykaa to Mamaearth: Start-ups fuel India's growing love for skincare,"Sat, 04 Jun 2022 23:07:13 GMT",https://www.bbc.co.uk/news/world-asia-india-61594179,https://www.bbc.co.uk/news/world-asia-india-61594179?at_medium=RSS&at_campaign=KARANGA,Homegrown start-ups like Nykaa have disrupted the Indian skincare market with their wide range.
Queen's Platinum Jubilee: The Nigerian boss who applied to be monarch's footman,"Sat, 04 Jun 2022 23:09:17 GMT",https://www.bbc.co.uk/news/world-africa-61649453,https://www.bbc.co.uk/news/world-africa-61649453?at_medium=RSS&at_campaign=KARANGA,Nigeria is the biggest former British colony in Africa but not many people are celebrating the jubilee.
From jelly to hummus: a history of street party food,"Fri, 03 Jun 2022 23:25:23 GMT",https://www.bbc.co.uk/news/uk-61636665,https://www.bbc.co.uk/news/uk-61636665?at_medium=RSS&at_campaign=KARANGA,The food served at royal street parties reflect the changing tastes of a nation.
Champions League Final: Harrowing accounts of post-match violence spark debate,"Fri, 03 Jun 2022 17:28:54 GMT",https://www.bbc.co.uk/news/world-europe-61685718,https://www.bbc.co.uk/news/world-europe-61685718?at_medium=RSS&at_campaign=KARANGA,UFC fighter Paddy Pimblett tells French media men with weapons were attacking and robbing fans.
DR Congo: 'My life has changed thanks to coffee',"Fri, 03 Jun 2022 23:07:30 GMT",https://www.bbc.co.uk/news/world-africa-61269602,https://www.bbc.co.uk/news/world-africa-61269602?at_medium=RSS&at_campaign=KARANGA,"Some of the world's best beans come from an island in DR Congo, where ex-fighters get a second chance."
"War in Ukraine: We are holding on, say Mykolaiv residents","Fri, 03 Jun 2022 21:51:23 GMT",https://www.bbc.co.uk/news/world-europe-61687586,https://www.bbc.co.uk/news/world-europe-61687586?at_medium=RSS&at_campaign=KARANGA,Residents in the southern region of Ukraine speak of their defiance and dread as the war rages on.
The Russian soldiers refusing to fight in Ukraine,"Thu, 02 Jun 2022 23:06:42 GMT",https://www.bbc.co.uk/news/world-europe-61607184,https://www.bbc.co.uk/news/world-europe-61607184?at_medium=RSS&at_campaign=KARANGA,"Because of their experiences on the front line, some troops are seeking legal advice to avoid being redeployed."
Nilambur Ayisha: India actor who survived religious hate and bullets,"Fri, 03 Jun 2022 23:06:32 GMT",https://www.bbc.co.uk/news/world-asia-india-61679980,https://www.bbc.co.uk/news/world-asia-india-61679980?at_medium=RSS&at_campaign=KARANGA,"Nilambur Ayisha was targeted by people who believed a Muslim woman shouldn't act, but she never gave up."
What are my rights if my flight is cancelled?,"Tue, 31 May 2022 11:46:37 GMT",https://www.bbc.co.uk/news/business-61646214,https://www.bbc.co.uk/news/business-61646214?at_medium=RSS&at_campaign=KARANGA,Airlines including Tui and EasyJet have cancelled dozens of flights over the half-term holiday.
"The war in Kyiv: Denial, darkness and then calm","Fri, 03 Jun 2022 04:41:37 GMT",https://www.bbc.co.uk/news/world-europe-61671917,https://www.bbc.co.uk/news/world-europe-61671917?at_medium=RSS&at_campaign=KARANGA,"As the threat of Russia’s invasion loomed, Kyiv refused to cower. But then it was forced to adapt."
Could toxic Depp-Heard case have chilling effect on accusers?,"Thu, 02 Jun 2022 23:41:20 GMT",https://www.bbc.co.uk/news/world-us-canada-61664982,https://www.bbc.co.uk/news/world-us-canada-61664982?at_medium=RSS&at_campaign=KARANGA,Could the Depp-Heard case have a chilling effect on others bringing allegations of domestic abuse?
